Ri,M,Eta,k,Nuval
-1,3,0.44,4.0,-13.87675
-1,3,0.45,4.0,-14.24074
-1,3,0.46,4.0,-14.5788
-1,3,0.47,4.0,-14.88772
-1,3,0.48,4.0,-15.16435
-1,3,0.49,4.0,-15.40527
-1,3,0.5,4.0,-15.6071
-1,3,0.51,4.0,-15.7664
-1,3,0.52,4.0,-15.87981
-1,3,0.53,4.0,-15.94376
-1,3,0.54,4.0,-15.95497
-1,3,0.55,4.0,-15.91
-1,3,0.56,4.0,-15.80562
-1,3,0.57,4.0,-15.63874
-1,3,0.58,4.0,-15.40633
-1,3,0.59,4.0,-15.10568
-1,3,0.6,4.0,-14.73422
-1,3,0.61,4.0,-14.28971
-1,3,0.62,4.0,-13.7702
-1,3,0.63,4.0,-13.17417
-1,3,0.64,4.0,-12.50048
-1,3,0.65,4.0,-11.74842
-1,3,0.66,4.0,-10.91782
-1,3,0.67,4.0,-10.00911
-1,3,0.68,4.0,-9.02322
-1,3,0.69,4.0,-7.96177
-1,3,0.7,4.0,-6.82712
-1,3,0.71,4.0,-5.62225
-1,3,0.72,4.0,-4.35096
-1,3,0.73,4.0,-3.01783
-1,3,0.74,4.0,-1.62825
-1,3,0.75,4.0,-0.18844
-1,3,0.76,4.0,1.29455
-1,3,0.77,4.0,2.81285
-1,3,0.78,4.0,4.35767
-1,3,0.79,4.0,5.91949
-1,3,0.8,4.0,7.48788
-1,3,0.81,4.0,9.05183
-1,3,0.82,4.0,10.59946
-1,3,0.83,4.0,12.1184
-1,3,0.84,4.0,13.59559
-1,3,0.85,4.0,15.0176
-1,3,0.86,4.0,16.3706
-1,3,0.87,4.0,17.64069
-1,3,0.88,4.0,18.81373
-1,3,0.89,4.0,19.87583
-1,3,0.9,4.0,20.81335
-1,3,0.91,4.0,21.61327
-1,3,0.92,4.0,22.26332
-1,3,0.93,4.0,22.75243
-1,3,0.94,4.0,23.07117
-1,3,0.95,4.0,23.21213
-1,3,0.96,4.0,23.17101
-1,3,0.97,4.0,22.94787
-1,3,0.98,4.0,22.54998
-1,3,0.99,4.0,21.99796
-1,3,1.0,4.0,21.33367
-1,3,1.01,4.0,20.60602
-1,3,1.02,4.0,19.82105
-1,3,1.03,4.0,18.94748
-1,3,1.04,4.0,17.95405
-1,3,1.05,4.0,16.82089
-1,3,1.06,4.0,15.53826
-1,3,1.07,4.0,14.10456
-1,3,1.08,4.0,12.52477
-1,3,1.09,4.0,10.80969
-1,3,1.1,4.0,8.97504
-1,3,1.11,4.0,7.04076
-1,3,1.12,4.0,5.03036
-1,3,1.13,4.0,2.97011
-1,3,1.14,4.0,0.88859
-1,3,1.15,4.0,-1.18404
-1,3,1.16,4.0,-3.21649
-1,3,1.17,4.0,-5.17709
-1,3,1.18,4.0,-7.03411
-1,3,1.19,4.0,-8.75632
-1,3,1.2,4.0,-10.31378
-1,3,1.21,4.0,-11.67796
-1,3,1.22,4.0,-12.82271
-1,3,1.23,4.0,-13.72462
-1,3,1.24,4.0,-14.36352
-1,3,1.25,4.0,-14.72321
-1,3,1.26,4.0,-14.79178
-1,3,1.27,4.0,-14.56199
-1,3,1.28,4.0,-14.03199
-1,3,1.29,4.0,-13.2051
-1,3,1.3,4.0,-12.09048
-1,3,1.31,4.0,-10.70296
-1,3,1.32,4.0,-9.06299
-1,3,1.33,4.0,-7.19652
-1,3,1.34,4.0,-5.13458
-1,3,1.35,4.0,-2.91257
-1,3,1.36,4.0,-0.56941
-1,3,1.37,4.0,1.85382
-1,3,1.38,4.0,4.31605
-1,3,1.39,4.0,6.78012
-1,3,1.4,4.0,9.21987
-1,3,1.41,4.0,11.63473
-1,3,1.42,4.0,14.054
-1,3,1.43,4.0,16.46726
-1,3,1.44,4.0,18.77962
-1,3,1.45,4.0,20.87639
-1,3,1.46,4.0,22.66094
-1,3,1.47,4.0,24.0577
-1,3,1.48,4.0,25.00976
-1,3,1.49,4.0,25.47751
-1,3,1.5,4.0,25.43751
-1,3,1.51,4.0,24.88178
-1,3,1.52,4.0,23.81682
-1,3,1.53,4.0,22.26285
-1,3,1.54,4.0,20.25271
-1,3,1.55,4.0,17.83122
-1,3,1.56,4.0,15.05388
-1,3,1.57,4.0,11.9858
-1,3,1.58,4.0,8.70043
-1,3,1.59,4.0,5.27785
-1,3,1.6,4.0,1.80311
-1,3,1.61,4.0,-1.63594
-1,3,1.62,4.0,-4.95068
-1,3,1.63,4.0,-8.054
-1,3,1.64,4.0,-10.86272
-1,3,1.65,4.0,-13.29992
-1,3,1.66,4.0,-15.29683
-1,3,1.67,4.0,-16.79498
-1,3,1.68,4.0,-17.74747
-1,3,1.69,4.0,-18.11953
