Ec,Xi,Eta,k,Fval,Gval
-1,3,1.68,2.0,1.01786,8e-05
-1,3,1.7,2.0,1.01663,6e-05
-1,3,1.72,2.0,1.01547,5e-05
-1,3,1.74,2.0,1.01439,4e-05
-1,3,1.76,2.0,1.01337,4e-05
-1,3,1.78,2.0,1.01242,3e-05
-1,3,1.8,2.0,1.01153,3e-05
-1,3,1.82,2.0,1.0107,2e-05
-1,3,1.84,2.0,1.00992,2e-05
-1,3,1.86,2.0,1.00919,2e-05
-1,3,1.88,2.0,1.00851,1e-05
-1,3,1.9,2.0,1.00788,1e-05
-1,3,1.92,2.0,1.00729,1e-05
-1,3,1.94,2.0,1.00674,1e-05
-1,3,1.96,2.0,1.00623,1e-05
-1,3,1.98,2.0,1.00575,1e-05
-1,3,2.0,2.0,1.00531,0.0
-1,3,2.02,2.0,1.00489,0.0
-1,3,2.04,2.0,1.00451,0.0
-1,3,2.06,2.0,1.00415,0.0
-1,3,2.08,2.0,1.00382,0.0
-1,3,2.1,2.0,1.00351,0.0
-1,3,2.12,2.0,1.00322,0.0
-1,3,2.14,2.0,1.00296,0.0
-1,3,2.16,2.0,1.00271,0.0
-1,3,2.18,2.0,1.00248,0.0
-1,3,2.2,2.0,1.00227,0.0
-1,3,2.22,2.0,1.00208,0.0
-1,3,2.24,2.0,1.0019,0.0
-1,3,2.26,2.0,1.00173,0.0
-1,3,2.28,2.0,1.00158,0.0
-1,3,2.3,2.0,1.00143,0.0
-1,3,2.32,2.0,1.0013,0.0
-1,3,2.34,2.0,1.00118,0.0
-1,3,2.36,2.0,1.00107,0.0
-1,3,2.38,2.0,1.00097,0.0
-1,3,2.4,2.0,1.00087,0.0
-1,3,2.42,2.0,1.00078,0.0
-1,3,2.44,2.0,1.0007,0.0
-1,3,2.46,2.0,1.00063,0.0
-1,3,2.48,2.0,1.00056,0.0
-1,3,2.5,2.0,1.00049,0.0
-1,3,2.52,2.0,1.00043,0.0
-1,3,2.54,2.0,1.00038,0.0
-1,3,2.56,2.0,1.00033,0.0
-1,3,2.58,2.0,1.00028,0.0
-1,3,2.6,2.0,1.00024,0.0
-1,3,2.62,2.0,1.0002,0.0
-1,3,2.64,2.0,1.00017,0.0
-1,3,2.66,2.0,1.00014,0.0
-1,3,2.68,2.0,1.00011,0.0
-1,3,2.7,2.0,1.00009,0.0
-1,3,2.72,2.0,1.00006,0.0
-1,3,2.74,2.0,1.00004,0.0
-1,3,2.76,2.0,1.00002,0.0
-1,3,2.78,2.0,1.00001,0.0
-1,3,2.8,2.0,0.99999,0.0
-1,3,2.82,2.0,0.99998,0.0
-1,3,2.84,2.0,0.99996,0.0
-1,3,2.86,2.0,0.99995,0.0
-1,3,2.88,2.0,0.99994,0.0
-1,3,2.9,2.0,0.99993,0.0
-1,3,2.92,2.0,0.99993,0.0
-1,3,2.94,2.0,0.99992,0.0
-1,3,2.96,2.0,0.99991,0.0
-1,3,2.98,2.0,0.99991,0.0
-1,3,3.0,2.0,0.9999,0.0
-1,3,3.02,2.0,0.9999,0.0
-1,3,3.04,2.0,0.99989,0.0
-1,3,3.06,2.0,0.99989,0.0
-1,3,3.08,2.0,0.99989,0.0
