ETA,Cf1,Cf2,Cf3,Cf4,Cf5
3.565,7.95573,-34.6284,-119.81052,-205.01079,-290.22949
3.575,7.73112,-28.46273,-100.8639,-173.28291,-245.71986
3.585,7.51705,-4.52376,-28.61582,-52.72129,-76.84042
3.595,7.35851,25.46075,61.65493,97.83592,134.00368
3.605,7.29151,46.63163,125.29798,203.9463,282.5762
3.615,7.33255,48.35656,130.38936,212.40195,294.39404
3.625,7.47304,29.6347,73.94563,118.24045,162.51872
3.635,7.68158,-0.2229,-16.04187,-31.87418,-47.72021
3.645,7.91266,-26.12572,-94.21484,-162.31995,-230.4416
3.655,8.11872,-34.79173,-120.62691,-206.48091,-292.35422
3.665,8.25936,-21.59211,-81.30735,-141.03824,-200.78523
3.675,8.30833,6.89424,4.05681,1.20806,-1.65233
3.685,8.25631,36.07251,91.69448,147.30348,202.89917
3.695,8.11237,50.76852,136.0674,221.34874,306.61215
3.705,7.90287,43.15279,113.63951,184.10902,254.5611
3.715,7.66891,16.99084,35.62448,54.24477,72.85143
3.725,7.46028,-14.12285,-57.29986,-100.49078,-143.69611
3.735,7.32509,-33.78377,-116.01563,-198.26649,-280.53687
3.745,7.29688,-31.46461,-109.00244,-186.56001,-264.1376
3.755,7.38381,-8.25598,-39.54728,-70.85334,-102.17442
3.765,7.56533,23.51836,55.41395,87.29623,119.1653
3.775,7.79808,46.7747,124.71459,202.63708,280.5423
3.785,8.02889,48.87293,130.54669,212.20174,293.83795
3.795,8.20822,28.59067,69.34456,110.08411,150.80904
3.805,8.29917,-3.02492,-25.68229,-48.35177,-71.03355
3.815,8.28359,-28.56116,-102.26257,-175.97966,-249.71271
3.825,8.16423,-33.8052,-117.75791,-201.72871,-285.7179
3.835,7.96426,-15.73028,-63.13037,-110.54502,-157.97437
3.845,7.72502,15.62505,31.41621,47.1953,62.96262
3.855,7.4998,42.60717,112.80962,182.99602,253.16649
3.865,7.34316,49.83637,134.80786,219.75945,304.69101
3.875,7.29619,33.01395,84.43667,135.84248,187.23126
3.885,7.37253,1.57544,-10.02905,-21.6472,-33.27961
3.895,7.55277,-26.49433,-94.60111,-162.72461,-230.86526
3.905,7.7909,-34.90747,-120.31912,-205.75026,-291.20117
3.915,8.02885,-18.56695,-71.77052,-124.98961,-178.2245
3.925,8.2117,13.25477,23.33164,33.39681,43.4504
