ETA,Pi1,Pi2,Pi3,Pi4,Pi5
3.22,10.62738,9.73438,9.78964,8.60942,8.36566
3.23,29.8839,26.28616,26.84747,22.13493,21.36511
3.24,41.24215,36.05136,36.91174,30.11956,29.04054
3.25,40.05217,35.02964,35.8596,29.28815,28.24275
3.26,26.67789,23.53308,24.01279,19.89481,19.21566
3.27,6.45302,6.14889,6.09906,5.69254,5.56741
3.28,-12.4111,-10.06039,-10.60281,-7.53978,-7.14624
3.29,-22.16565,-18.43057,-19.22488,-14.35067,-13.68442
3.3,-18.75653,-15.47674,-16.17636,-11.89301,-11.31118
3.31,-3.58845,-2.41145,-2.70791,-1.16704,-0.99017
3.32,16.97143,15.28366,15.53004,13.33252,12.95493
3.33,34.20879,30.10962,30.80827,25.4627,24.61651
3.34,40.74821,35.72239,36.58871,30.03128,29.00223
3.35,33.75186,29.68394,30.35935,25.04782,24.19961
3.36,16.23193,14.58946,14.79621,12.64456,12.26094
3.37,-4.1597,-2.97497,-3.31131,-1.77891,-1.61969
3.38,-18.41063,-15.25305,-15.96825,-11.86563,-11.32764
3.39,-20.11353,-16.73015,-17.49054,-13.09512,-12.51465
3.4,-8.37311,-6.63378,-7.08205,-4.83116,-4.56803
3.41,11.67781,10.6214,10.70652,9.313,9.03798
3.42,31.06332,27.3139,27.91589,23.01382,22.22202
3.43,40.94617,35.83942,36.70776,30.04079,28.99151
3.44,36.65482,32.17558,32.93542,27.09256,26.16971
3.45,19.91645,17.80234,18.12359,15.37003,14.90857
3.46,-1.7899,-0.8535,-1.10393,0.12386,0.2545
3.47,-18.55299,-15.27079,-15.96458,-11.67713,-11.093
3.48,-22.56948,-18.73755,-19.54024,-14.53795,-13.85005
3.49,-11.82199,-9.51401,-10.03742,-7.02723,-6.63843
3.5,8.85994,8.25206,8.26929,7.47,7.28943
3.51,29.93243,26.35643,26.92458,22.24745,21.48745
3.52,41.5472,36.33089,37.20129,30.37947,29.29808
3.53,38.20947,33.44986,34.2295,28.00093,27.00576
3.54,21.46732,19.04486,19.38229,16.20301,15.66023
3.55,-0.71559,-0.03393,-0.27974,0.59365,0.65385
3.56,-17.69596,-14.63101,-15.32013,-11.3324,-10.80686
3.57,-21.27109,-17.68985,-18.46684,-13.79973,-13.16907
3.58,-9.71736,-7.72876,-8.194,-5.59941,-5.27169
3.59,11.26839,10.34834,10.4424,9.24581,9.01478
3.6,31.27756,27.58166,28.20643,23.38968,22.62366
