Ri,M,Eta,k,Fval,Gval
-1,3,0.36,3.0,0.87964,0.53441
-1,3,0.38,3.0,0.90192,0.506
-1,3,0.4,3.0,0.92219,0.47813
-1,3,0.42,3.0,0.94056,0.45088
-1,3,0.44,3.0,0.95714,0.42431
-1,3,0.46,3.0,0.97205,0.39849
-1,3,0.48,3.0,0.98539,0.37347
-1,3,0.5,3.0,0.99726,0.34931
-1,3,0.52,3.0,1.00777,0.32603
-1,3,0.54,3.0,1.01702,0.30367
-1,3,0.56,3.0,1.02511,0.28226
-1,3,0.58,3.0,1.03211,0.2618
-1,3,0.6,3.0,1.03813,0.24232
-1,3,0.62,3.0,1.04324,0.22382
-1,3,0.64,3.0,1.04751,0.20629
-1,3,0.66,3.0,1.05104,0.18973
-1,3,0.68,3.0,1.05388,0.17413
-1,3,0.7,3.0,1.0561,0.15947
-1,3,0.72,3.0,1.05776,0.14573
-1,3,0.74,3.0,1.05892,0.13288
-1,3,0.76,3.0,1.05965,0.12091
-1,3,0.78,3.0,1.05997,0.10978
-1,3,0.8,3.0,1.05995,0.09945
-1,3,0.82,3.0,1.05962,0.0899
-1,3,0.84,3.0,1.05903,0.08109
-1,3,0.86,3.0,1.05821,0.07298
-1,3,0.88,3.0,1.05719,0.06554
-1,3,0.9,3.0,1.05601,0.05873
-1,3,0.92,3.0,1.05469,0.05251
-1,3,0.94,3.0,1.05325,0.04684
-1,3,0.96,3.0,1.05173,0.0417
-1,3,0.98,3.0,1.05013,0.03703
-1,3,1.0,3.0,1.04849,0.03282
-1,3,1.02,3.0,1.0468,0.02902
-1,3,1.04,3.0,1.04509,0.0256
-1,3,1.06,3.0,1.04337,0.02254
-1,3,1.08,3.0,1.04165,0.01979
-1,3,1.1,3.0,1.03994,0.01735
-1,3,1.12,3.0,1.03825,0.01517
-1,3,1.14,3.0,1.03659,0.01323
-1,3,1.16,3.0,1.03495,0.01152
-1,3,1.18,3.0,1.03335,0.01
-1,3,1.2,3.0,1.03178,0.00867
-1,3,1.22,3.0,1.03026,0.0075
-1,3,1.24,3.0,1.02879,0.00647
-1,3,1.26,3.0,1.02736,0.00557
-1,3,1.28,3.0,1.02598,0.00478
-1,3,1.3,3.0,1.02465,0.0041
-1,3,1.32,3.0,1.02337,0.0035
-1,3,1.34,3.0,1.02213,0.00299
-1,3,1.36,3.0,1.02095,0.00255
-1,3,1.38,3.0,1.01982,0.00216
-1,3,1.4,3.0,1.01873,0.00183
-1,3,1.42,3.0,1.01769,0.00155
-1,3,1.44,3.0,1.0167,0.00131
-1,3,1.46,3.0,1.01576,0.0011
-1,3,1.48,3.0,1.01486,0.00093
-1,3,1.5,3.0,1.014,0.00078
-1,3,1.52,3.0,1.01319,0.00065
-1,3,1.54,3.0,1.01241,0.00054
-1,3,1.56,3.0,1.01167,0.00045
-1,3,1.58,3.0,1.01098,0.00038
-1,3,1.6,3.0,1.01031,0.00031
-1,3,1.62,3.0,1.00969,0.00026
-1,3,1.64,3.0,1.00909,0.00021
-1,3,1.66,3.0,1.00853,0.00018
