ETA,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12
1.86,0.94378,0.00337,0.97601,0.00072,1.00438,2.00E-05,1.00928,2.00E-05,0.99621,0.00013,0.99764,8.00E-05,1.00133,2.00E-05,1.003,1.00E-05,0.99976,3.00E-05,0.99987,3.00E-05,1.00023,1.00E-05,1.0005,1.00E-05
1.88,0.94667,0.00295,0.97737,0.00061,1.00409,2.00E-05,1.0086,1.00E-05,0.99649,0.0001,0.99781,7.00E-05,1.00122,1.00E-05,1.00275,1.00E-05,0.99979,3.00E-05,0.99988,2.00E-05,1.00021,1.00E-05,1.00044,1.00E-05
1.9,0.94944,0.00257,0.97867,0.00052,1.00381,2.00E-05,1.00797,1.00E-05,0.99675,9.00E-05,0.99798,6.00E-05,1.00112,1.00E-05,1.00252,1.00E-05,0.99981,2.00E-05,0.9999,2.00E-05,1.00019,1.00E-05,1.0004,1.00E-05
1.92,0.95209,0.00224,0.9799,0.00044,1.00355,1.00E-05,1.00738,1.00E-05,0.997,7.00E-05,0.99813,5.00E-05,1.00103,1.00E-05,1.0023,1.00E-05,0.99983,2.00E-05,0.99991,1.00E-05,1.00017,1.00E-05,1.00035,0
1.94,0.95462,0.00195,0.98106,0.00037,1.00331,1.00E-05,1.00683,1.00E-05,0.99722,6.00E-05,0.99827,4.00E-05,1.00094,1.00E-05,1.00211,0,0.99985,1.00E-05,0.99992,1.00E-05,1.00015,1.00E-05,1.00031,0
1.96,0.95704,0.0017,0.98217,0.00032,1.00308,1.00E-05,1.00632,1.00E-05,0.99743,5.00E-05,0.99841,3.00E-05,1.00086,1.00E-05,1.00193,0,0.99986,1.00E-05,0.99993,1.00E-05,1.00013,0,1.00028,0
1.98,0.95934,0.00147,0.98322,0.00027,1.00287,1.00E-05,1.00584,1.00E-05,0.99763,4.00E-05,0.99853,2.00E-05,1.00079,0,1.00176,0,0.99988,1.00E-05,0.99993,1.00E-05,1.00012,0,1.00025,0
2,0.96154,0.00127,0.98422,0.00022,1.00267,1.00E-05,1.0054,0,0.99781,3.00E-05,0.99864,2.00E-05,1.00072,0,1.00161,0,0.99989,1.00E-05,0.99994,1.00E-05,1.00011,0,1.00022,0
2.02,0.96364,0.0011,0.98516,0.00019,1.00248,0,1.00499,0,0.99797,3.00E-05,0.99875,2.00E-05,1.00066,0,1.00147,0,0.9999,1.00E-05,0.99995,0,1.00009,0,1.0002,0
2.04,0.96563,0.00095,0.98605,0.00016,1.00231,0,1.00461,0,0.99813,2.00E-05,0.99884,1.00E-05,1.00061,0,1.00135,0,0.99991,0,0.99995,0,1.00008,0,1.00017,0
